IMO/LR/IHS No.;Name of Ship;Flag;MMSI;Callsign;Status;GT;Ship Type
9101297;VICTORIY I;Russia;273451210;UGME;In Service/Commission;359;Fishing Vessel
9360075;VIKHREVOY;Russia;273315070;UEEO;In Service/Commission;198;Tug
7011606;VIKING;Russia;273350380;UBMO;In Service/Commission;291;Tug
8926389;VIKTOR;Russia;273435340;UBWR2;In Service/Commission;557;General Cargo Ship
8422448;VIKTOR BUYNITSKIY;Russia;273453300;UAJX;In Service/Commission;693;Research Survey Vessel
9657791;VIKTOR CHERNOMYRDIN;Russia;273353850;UBII4;In Service/Commission;228;Passenger Ship
9805180;VIKTOR KUSKOV;Russia;273385740;UBHO2;In Service/Commission;338;Buoy Tender
9364708;VIKTORIA;Russia;273412550;UBIQ5;In Service/Commission;141;Tug
8930835;VIKTORIYA;Russia;273448210;;In Service/Commission;202;Pollution Control Vessel
8897136;VIKTORIYA II;Russia;273451930;UEMG;Laid-Up;359;Fishing Vessel
8826199;VILIGA;Russia;273436430;UDYS;In Service/Commission;776;Fishing Vessel
8805303;VILYUY;Russia;273215420;UBGT7;In Service/Commission;698;Fishing Vessel
8730493;VITALIY SHEYKO;Russia;273419400;UAVG;In Service/Commission;757;Fishing Vessel
8916798;VITIM;Russia;273219420;UBHT3;In Casualty Or Repairing;704;Fishing Vessel
9126431;VITYAZ;Russia;273431490;UAFJ;In Service/Commission;835;General Cargo Ship
7124439;VITYAZ;Russia;273822100;UGJM;In Service/Commission;735;Fishing Vessel
7367603;VITYAZ;Russia;273421530;UIWK;In Service/Commission;275;Tug
7646891;VLADIMIR GOLUZENKO;Russia;273440950;;In Service/Commission;245;Passenger Ship
8228177;VLADIMIR GUSAROV;Russia;273448500;UEVF;In Service/Commission;180;Tug
4751970;VLADIMIR KOZITSKY;Russia;;;In Service/Commission;150;Research Survey Vessel
8935940;VLADIMIR PASHKIN;Russia;;;In Service/Commission;173;Deck Cargo Ship
9139567;VLADIMIR PETROV;Russia;273218730;UBTT3;In Service/Commission;296;Fish Carrier
8947632;VLADIMIR SAFONOV;Russia;273418710;UGVT;In Service/Commission;462;Fishing Vessel
9761152;VLADIMIR VYSOTSKY;Russia;273390770;UBWO6;In Service/Commission;187;Tug
7607273;VLADIMIR ZAGOSKIN;Russia;273450850;UDID;In Service/Commission;568;Fishing Vessel
8907474;VLADIVOSTOK;Russia;273319490;UFKZ;In Service/Commission;738;Bunkering Tanker (Oil)
8831687;VNIMATELNYY;Russia;;;In Service/Commission;182;Tug
8725400;VODOLEY-2;Russia;273424050;;In Service/Commission;109;Bunkering Tanker (Oil)
8724573;VOLEVOY;Russia;;;In Service/Commission;182;Tug
8846709;VOLKHOV;Russia;273422370;UBGJ7;In Service/Commission;250;Pollution Control Vessel
8840963;VOSTOCHNY;Russia;;;In Service/Commission;343;Tug
7006675;VOSTOK;Russia;273452930;UHDD;In Service/Commission;234;Tug
8139144;VOSTOK;Russia;273335570;UEKP;In Service/Commission;184;Tug
9133159;VOSTOK;Russia;273420800;UCWT;In Service/Commission;765;Fishing Vessel
9256547;VOSTOK;Russia;273348270;UBTL8;Laid-Up;255;Tug
8809294;VOSTOK 5;Russia;273352930;UBRH9;In Service/Commission;607;Fishing Vessel
9160516;VOSTOK-1;Russia;273827030;UIWU;In Service/Commission;716;Fishing Vessel
9058048;VOSTOK-3;Russia;273332330;UBVF9;In Service/Commission;703;Fishing Vessel
8821395;VOSTOK-4;Russia;273347730;UBGG2;In Service/Commission;753;Fishing Vessel
9041710;VOSTOK-6;Russia;273385130;UBSG;In Service/Commission;720;Fishing Vessel
8815334;VOSTOK-7;Russia;273386230;UCQP;In Service/Commission;379;Fishing Vessel
9315587;VOSTOK-8;Russia;273430760;UBUR8;In Service/Commission;815;Fishing Vessel
8724963;VOYEVODA;Russia;;UEFG;In Service/Commission;127;Tug
8033924;VOYKOVO;Russia;273516500;UGZC;In Service/Commission;802;Fishing Vessel
9884851;VSESLAV;Russia;273291590;UBAX4;In Service/Commission;285;Fishing Vessel
9929065;VSEVOLOD PERESYPKIN;Russia;273297890;UBBX4;In Service/Commission;495;Buoy Tender
7644594;VULKAN;Russia;273443670;UDSY;In Service/Commission;177;Tug
7302380;VULKANNYY;Russia;273893400;UBGS;In Service/Commission;641;Fishing Vessel
8330712;VUTAN;Russia;273516000;UCFJ;In Service/Commission;737;Fishing Vessel
9332664;VYATICH;Russia;273434680;UBAG9;In Service/Commission;272;Tug
7042100;VYBORG;Russia;273314310;UCPF;In Casualty Or Repairing;226;Tug
9871880;VYMPEL;Russia;273213650;UBGU9;In Service/Commission;428;Fishing Vessel
4751633;VYMPEL 01846;Russia;;;On Order/Not Commenced;0;Research Survey Vessel
4751645;VYMPEL 01847;Russia;;;On Order/Not Commenced;0;Research Survey Vessel
8016342;WESTERN ENTERPRISE;Russia;273417010;UDQN;In Service/Commission;780;Fishing Vessel
8953497;YAGRY;Russia;273550600;UGUM;In Service/Commission;601;Fishing Vessel
9564774;YAGUAR;Russia;273353070;UALH8;In Service/Commission;395;Tug
8504545;YAHONT;Russia;273382320;UBAO6;In Service/Commission;379;Fishing Vessel
8685935;YAK;Russia;273366090;UAXE6;In Service/Commission;841;Tug
8929862;YAKHONT;Russia;273312410;;In Service/Commission;187;Tug
9137492;YAKOV GUNIN;Russia;273550400;UBZH;In Service/Commission;837;Fishing Vessel
4753837;YAKOV LAPUSHKIN;Russia;;;Launched;1000;Research Survey Vessel
8725852;YAKOV PAVLOV;Russia;273843610;UEXN;In Service/Commission;798;Fishing Vessel
9013309;YAMATO;Russia;273351740;UBAI7;In Service/Commission;760;Training Ship
4750536;YANTAR;Russia;;;Keel Laid;0;Research Survey Vessel
8226507;YANTAR;Russia;;;In Service/Commission;182;Tug
8916803;YANTAR-31;Russia;273341320;UBWE5;In Service/Commission;788;Fishing Vessel
9084944;YAROBOR;Russia;273337310;UBEF4;In Service/Commission;732;Chemical/Products Tanker
8921298;YAROMIR;Russia;273345530;UBEG9;In Service/Commission;741;Chemical/Products Tanker
8725759;YAROPOLK;Russia;273425870;;In Casualty Or Repairing;270;Tug
8317265;YASNYY;Russia;273420030;UCXV;In Service/Commission;821;Fishing Vessel
7702700;YASNYY;Russia;273443280;UBFC;In Service/Commission;529;Hopper, Motor
8832100;YELIZOVO;Russia;273840400;UEAT;In Service/Commission;690;Fishing Vessel
8349579;YEVGENIY VASILYEV;Russia;273395060;UBQP5;In Service/Commission;100;Pilot Vessel
7616573;YOUNG KWANG;Russia;273313670;UCEZ;In Service/Commission;186;Waste Disposal Vessel
7232042;YUBILEYNYY;Russia;273419050;UHKR;In Service/Commission;172;Fishing Vessel
8509870;YUGO-VOSTOCK 3;Russia;273442270;UGIQ;In Service/Commission;708;Fishing Vessel
9133381;YUGO-VOSTOK 5;Russia;273312510;UHLR;In Service/Commission;743;Fishing Vessel
8827038;YUNYY BALTIETS;Russia;273414310;UFWT;In Service/Commission;441;Sail Training Ship
9912696;YURI BABAEV;Russia;273296770;UBPW4;Launched;291;Research Survey Vessel
9912701;YURI OSOKIN;Russia;;;Launched;291;Research Survey Vessel
9130846;YURIY OREL;Russia;273813100;UCEQ;Laid-Up;795;Fishing Vessel
8933801;YURKIY;Russia;;;In Service/Commission;187;Tug
8729391;YUZHNO-MORSKOY;Russia;273851100;UGZX;In Service/Commission;451;Fishing Vessel
9130834;ZALIV NAKHODKA;Russia;273812100;UCEP;In Service/Commission;767;Fishing Vessel
9130822;ZALIV PETRA;Russia;273819000;UCDT;In Service/Commission;748;Fishing Vessel
8930718;ZAPRAVSHCHIK-01;Russia;;;In Service/Commission;189;Bunkering Tanker (Oil)
8930744;ZAPRAVSHCHIK-05;Russia;273439180;UIHJ;In Service/Commission;189;Bunkering Tanker (Oil)
8331704;ZAPRAVSHCHIK-07;Russia;273446990;;In Service/Commission;205;Bunkering Tanker (Oil)
8826436;ZAPRAVSHCHIK-12;Russia;;;In Service/Commission;204;Bunkering Tanker (Oil)
8920098;ZARUBINO;Russia;273355560;UBLI9;In Service/Commission;706;Fishing Vessel
9012214;ZARYA;Russia;273442580;UFCR;In Service/Commission;959;Refrigerated Cargo Ship
8228191;ZARYA;Russia;;;In Service/Commission;228;Tug
8826448;ZHIZHGIN;Russia;273132800;UGXU;In Service/Commission;278;Tug
8138592;ZLATOUSTOVSK;Russia;273894010;UFVJ;In Service/Commission;843;Fishing Vessel
8712300;ZODIAK;Russia;273349630;UBFG9;In Service/Commission;933;Refrigerated Cargo Ship
9183556;ZODIAK;Russia;273852400;UIDP;Laid-Up;499;Fishing Vessel
8899926;ZOLOTOY;Russia;273451050;UCGJ;In Service/Commission;279;Tug
7702683;ZORKIY;Russia;273444280;UBKV;In Service/Commission;529;Hopper, Motor
8227135;ZUBR;Russia;273364290;UBXH;In Service/Commission;228;Tug
8682323;ZUBR;Russia;273446580;UERC;In Service/Commission;841;Pusher Tug
9793492;ZUBR;Russia;273391690;UBDP7;In Service/Commission;185;Tug
8228373;ZVEZDA MORYAKA;Russia;273558600;UAEP;In Service/Commission;356;Fishing Vessel
9311323;ZVEZDA RYBAKA;Russia;273445060;UDWB;In Service/Commission;147;Fishing Vessel
9311335;ZVEZDA UDACHI;Russia;273444060;UDRL;In Service/Commission;147;Fishing Vessel
8842571;ZVEZDNIY;Russia;273437070;UHGN;In Service/Commission;271;Tug
9275177;ZVYOZDOCHKA 03101;Russia;;;Launched;601;Fishing Vessel
8929941;ZYUYD;Russia;273317410;UEYQ;In Service/Commission;180;Tug
9152959;50 LET POBEDY;Russia;273316240;UGYU;In Service/Commission;23439;Icebreaker
8863769;A. BRYUKHOVETSKIY;Russia;273378000;UCWK;Laid-Up;5010;General Cargo Ship
8134912;ACHINSK;Russia;273296700;UAWG;In Service/Commission;1734;Fishing Vessel
9575929;ACRUX STAR;Russia;273216880;UBZU7;In Service/Commission;7852;Products Tanker 
8411035;ADELAIDE;Russia;273435010;UBHR2;In Service/Commission;1856;Fishing Vessel
9179854;ADLER;Russia;273414440;UGPS;In Service/Commission;8811;Ro-Ro Cargo Ship
9076208;ADMIRAL KOLCHAK;Russia;273845900;UEUS;In Service/Commission;4407;Fishing Vessel
7347603;ADMIRAL MAKAROV;Russia;273148110;UGSN;In Service/Commission;14058;Icebreaker
9872420;ADMIRAL NEVELSKOY;Russia;273212480;UBQD;In Service/Commission;3061;General Cargo/Passenger Ship
8607165;ADMIRAL SHABALIN;Russia;273524300;UBAW;In Service/Commission;7731;Fish Factory Ship
9950038;ADMIRALTEYSKIY;Russia;;;On Order/Not Commenced;9046;Fishing Vessel
9950040;ADMIRALTEYSKIY;Russia;;;On Order/Not Commenced;9046;Fishing Vessel
9961946;ADMIRALTEYSKIY;Russia;;;On Order/Not Commenced;9055;Fishing Vessel
9916795;ADMIRALTEYSKIY 02486;Russia;;;On Order/Not Commenced;9046;Fishing Vessel
9916800;ADMIRALTEYSKIY 02487;Russia;;;On Order/Not Commenced;9046;Fishing Vessel
8403363;AFINA;Russia;273331810;UBIF5;In Service/Commission;1266;Refrigerated Cargo Ship
9021277;AFRODITA;Russia;273219320;UBGT3;In Service/Commission;2684;Refrigerated Cargo Ship
9549619;AGATE;Russia;273333440;UBZE;In Service/Commission;3505;General Cargo Ship
8894536;AGINSKOYE;Russia;273554300;UELR;In Service/Commission;1913;Bunkering Tanker (Oil)
8411085;AHTIAR;Russia;273240400;UAMB;In Service/Commission;3816;Fish Factory Ship
9926491;AKADEMIK A. P. LISITSYN;Russia;;;Keel Laid;8877;Research Survey Vessel
8227238;AKADEMIK ALEKSANDR KARPINSKIY;Russia;273457410;UIZO;In Service/Commission;4430;Research Survey Vessel
8211150;AKADEMIK BORIS PETROV;Russia;273454710;UDVX;In Service/Commission;2318;Research Survey Vessel
8770261;AKADEMIK CHERSKIY;Russia;273399760;UDQB;In Service/Commission;29513;Pipe Layer Crane Vessel
8519837;AKADEMIK FEDOROV;Russia;273412710;UCKZ;In Service/Commission;12660;Icebreaker/Research
8313958;AKADEMIK FERSMAN;Russia;273455310;UFTQ;Laid-Up;3108;Research Survey Vessel
8119003;AKADEMIK GOLITSYN;Russia;273451600;UAIQ;Laid-Up;1805;Research Survey Vessel
9842190;AKADEMIK GUBKIN;Russia;;;Keel Laid;65141;Crude Oil Tanker
8507731;AKADEMIK IOFFE;Russia;273413400;UAUN;In Service/Commission;6450;Vessel (function unknown)
9899002;AKADEMIK IVANTER;Russia;;;Keel Laid;65141;Crude Oil Tanker
8408985;AKADEMIK LAZAREV;Russia;273450600;UAJS;In Service/Commission;2833;Research Survey Vessel
7811018;AKADEMIK MSTISLAV KELDYSH;Russia;273411400;UFJI;In Service/Commission;6259;Research Survey Vessel
8409032;AKADEMIK NEMCHINOV;Russia;273454600;UETM;In Service/Commission;3224;Research Survey Vessel
8211174;AKADEMIK NIKOLAY STRAKHOV;Russia;273418070;UIMS;Laid-Up;2318;Research Survey Vessel
8507729;AKADEMIK SERGEY VAVILOV;Russia;273414400;UAUO;In Service/Commission;6344;Research Survey Vessel
8010336;AKADEMIK SHOKALSKIY;Russia;273458210;UBNF;In Service/Commission;1764;Passenger Ship
9548536;AKADEMIK TRYOSHNIKOV;Russia;273359440;UBXH3;In Service/Commission;12711;Icebreaker/Research
9926489;AKADEMIK V. I. IL'ICHEV;Russia;;;Keel Laid;8877;Research Survey Vessel
7908562;AKASHIYA;Russia;273313840;UHOJ;In Service/Commission;1173;Refrigerated Cargo Ship
8811015;AKHILLES;Russia;273349220;UCSD;In Service/Commission;1009;Products Tanker
8954946;AKHMAT KADYROV;Russia;273372000;UINU;In Service/Commission;4963;General Cargo Ship
9968712;AKHTUBINSKIY 801;Russia;;;Keel Laid;1333;Fishing Vessel
9435337;AKHTY;Russia;273338920;UHQR;In Service/Commission;4681;Chemical/Products Tanker
8866735;AKSAY;Russia;273441210;UBBV;In Service/Commission;2715;General Cargo Ship
9210311;AKVAMARIN;Russia;273391470;UEXD;In Service/Commission;6204;General Cargo Ship
8819287;ALAID;Russia;273295560;UBIW8;In Service/Commission;5084;Refrigerated Cargo Ship
8002523;ALANA;Russia;273354700;UBJG9;In Service/Commission;2551;Chemical Tanker
9055216;ALANETT;Russia;273849700;UERZ;In Service/Commission;1315;Fishing Vessel
9052678;ALEKSANDER GUSEV;Russia;273293220;UBMV8;In Service/Commission;1598;General Cargo Ship
8721260;ALEKSANDR BELYAKOV;Russia;273825210;UBCS;In Service/Commission;4407;Fish Factory Ship
9927081;ALEKSANDR IVANOV;Russia;273291460;UBIW2;In Service/Commission;6305;General Cargo Ship
9479618;ALEKSANDR KASHCHUK;Russia;273324590;UESG;In Service/Commission;2106;Chemical/Products Tanker
8607153;ALEKSANDR KOSAREV;Russia;273526300;UBXS;In Service/Commission;7769;Fish Factory Ship
8133384;ALEKSANDR KSENOFONTOV;Russia;273245600;UAUF;In Service/Commission;4378;Fish Factory Ship
8607177;ALEKSANDR MIRONENKO;Russia;273523300;UBAU;In Service/Commission;7765;Fish Factory Ship
9777101;ALEKSANDR SANNIKOV;Russia;273394350;UBBS;In Service/Commission;11295;Offshore Tug/Supply Ship
9612909;ALEKSANDR SHEMAGIN;Russia;273352260;UBJI3;In Service/Commission;4531;Crude/Oil Products Tanker
9889198;ALEKSANDR SOKOLOV;Russia;273216620;UBKK;In Service/Commission;6305;General Cargo Ship
8033132;ALEKSEY AFANASYEV;Russia;273339400;UBZD;In Service/Commission;2491;General Cargo Ship
8817423;ALEKSEY ANICHKIN;Russia;273448380;UGYK;In Service/Commission;3981;Fish Factory Ship
8901456;ALEKSEY CHIRIKOV;Russia;273848710;UDKE;In Service/Commission;1944;Fish Factory Ship
9613551;ALEKSEY CHIRIKOV;Russia;273369290;UBXJ4;In Service/Commission;7487;Platform Supply Ship
8909329;ALEKSEY MARYSHEV;Russia;273456920;UCRD;In Service/Commission;1698;Research Survey Vessel
8909721;ALESTAR;Russia;273370490;UHBW;In Service/Commission;1181;Fishing Vessel
8881357;ALEUT;Russia;273815000;UAKG;In Service/Commission;2489;Fishing Vessel
8720979;ALEXANDER;Russia;273358770;UBXI5;In Service/Commission;4643;General Cargo Ship
9541150;ALEXANDER;Russia;273336670;UFRJ;In Service/Commission;5172;General Cargo Ship
9876373;ALEXANDER BEGGROV;Russia;;;Keel Laid;29500;Chemical/Products Tanker
9057331;ALEXANDER GRIN;Russia;273317400;UBZG;In Service/Commission;2319;General Cargo Ship
9356610;ALEXANDER NEVSKIY;Russia;273295660;UBJW3;In Service/Commission;12162;Chemical/Products Tanker
8883226;ALEXANDER PERESVET;Russia;273319100;UCBQ;In Service/Commission;3357;General Cargo Ship
9942378;ALEXANDER PYATOV;Russia;273619210;UBJX5;In Service/Commission;6266;General Cargo Ship
9057290;ALEXANDER TVARDOVSKIY;Russia;273211420;UBGT5;In Service/Commission;2319;General Cargo Ship
9940186;ALEXANDR DEEV;Russia;273615820;UBSX6;Launched;11630;Passenger/Ro-Ro Ship (Vehicles/Rail)
9845544;ALEXANDR NEVSKY;Russia;;;Keel Laid;8842;Platform Supply Ship
9876361;ALEXEY BOGOLYUBOV;Russia;;;Keel Laid;29500;Chemical/Products Tanker
9904546;ALEXEY KOSYGIN;Russia;;;Keel Laid;108406;LNG Tanker
9264099;ALFERAS;Russia;273447010;UHUX;In Service/Commission;1113;Fishing Vessel
9848625;ALHENA;Russia;;;Keel Laid;2700;Fishing Vessel
8509155;ALIOT;Russia;273448240;UBBE;In Service/Commission;3707;Fish Factory Ship
6703769;ALIREZA 1;Russia;273445070;UAYK;In Service/Commission;1972;General Cargo Ship
7635347;ALISA;Russia;273443770;UGSZ;In Service/Commission;1384;Products Tanker
9150224;ALMAZ;Russia;273419970;UBWQ4;In Service/Commission;3095;Anchor Handling Tug Supply
8881292;ALPHA;Russia;273416810;UGYY;In Service/Commission;2447;General Cargo Ship
9924364;ALPHA AQUILON;Russia;273293260;UBGW8;In Service/Commission;6305;General Cargo Ship
9917464;ALPHA ATLANT;Russia;273217980;UBAV4;In Service/Commission;6305;General Cargo Ship
9924340;ALPHA HELIOS;Russia;273296030;UBSV3;In Service/Commission;6305;General Cargo Ship
9924352;ALPHA HERMES;Russia;273294550;UBDW5;In Service/Commission;6305;General Cargo Ship
9917983;ALPHA MERCURY;Russia;273211390;UBCV4;In Service/Commission;6305;General Cargo Ship
8602866;ALSEY;Russia;273453380;UBSS9;In Service/Commission;2168;Fishing Vessel
8920543;AMAZONIT;Russia;273392790;UGLK;In Service/Commission;3206;Chemical/Products Tanker
8807416;AMBAL;Russia;273355410;UBVG7;In Service/Commission;20729;Rail Vehicles Carrier
8513273;AMBER BALTIC;Russia;273342230;UBCG5;In Service/Commission;2913;Refrigerated Cargo Ship
8502793;AMEGA;Russia;273351900;UBLG2;In Service/Commission;1425;Refrigerated Cargo Ship
8866761;AMETHYST;Russia;273445370;UDTS;In Service/Commission;2879;General Cargo Ship
9549607;AMETHYST;Russia;273358930;UBSH3;In Service/Commission;3505;General Cargo Ship
9140097;AMFITRITA;Russia;273216330;UBRT5;In Service/Commission;2736;Refrigerated Cargo Ship 
9016870;AMMOLIT;Russia;273213390;UBCV5;In Service/Commission;3716;Chemical/Products Tanker
8721272;AMUR-2501;Russia;;UBUS3;In Service/Commission;3086;General Cargo Ship
8721480;AMUR-2522;Russia;273330100;UDCE;In Service/Commission;3086;General Cargo Ship
8721521;AMUR-2526;Russia;273366000;UCZF;In Service/Commission;3332;General Cargo Ship
8727850;AMUR-2528;Russia;273332100;UDCF;In Service/Commission;3086;General Cargo Ship
9075840;AMURSKOE;Russia;273815080;UIRO;In Service/Commission;2390;Fish Factory Ship
9194012;ANABAR;Russia;273435910;UBCW;In Service/Commission;13815;Products Tanker
8711253;ANADYR;Russia;273145610;UITP;In Service/Commission;7095;General Cargo Ship
9910478;ANATOLIY CHERNEEV;Russia;273291980;UBXW2;In Service/Commission;2227;General Cargo/Passenger Ship
8516641;ANATOLIY LARIN;Russia;273313470;UBHE3;In Service/Commission;4295;Refrigerated Cargo Ship
9868821;ANATOLIY NIKOLAEV;Russia;273450690;UAQJ;In Service/Commission;4982;General Cargo Ship
8721246;ANATOLIY PONOMAREV;Russia;273846020;UIYO;In Service/Commission;4407;Fish Factory Ship
9618721;ANATOLIY SIDENKO;Russia;273340850;UBPL3;In Service/Commission;5686;General Cargo Ship
9164029;ANATOLIY SUKHOV;Russia;273298140;UBYV7;In Service/Commission;11894;General Cargo Ship
9029712;ANATOLY IVANOV;Russia;273214750;UBHU8;In Service/Commission;1607;General Cargo Ship
8230285;ANDOR;Russia;273383040;UBFO4;In Service/Commission;2516;General Cargo Ship
8711306;ANDREY OSIPOV;Russia;273379890;UBTN6;In Service/Commission;7085;General Cargo Ship
8871584;ANDREY PERVOZVANNIY;Russia;273332800;UISP;In Service/Commission;2998;General Cargo Ship
9255268;ANDREY PERVOZVANNIY;Russia;273414670;UCSB;In Service/Commission;16040;Chemical/Products Tanker
9801146;ANDREY STEPANOV;Russia;273216040;UBUT9;In Service/Commission;2800;Tug
9777113;ANDREY VILKITSSKIY;Russia;273412750;UHTB;In Service/Commission;11295;Icebreaker
9873125;ANDREY ZUEV;Russia;273453780;UBUS2;In Service/Commission;6305;General Cargo Ship
9848596;ANDROMEDA;Russia;273213180;UBVU9;Launched;2250;Fishing Vessel
9350082;ANDROMEDA;Russia;273613810;UBMX6;In Service/Commission;16949;Bulk Carrier
9000364;ANDROMEDA;Russia;273378130;UBQM4;In Service/Commission;4488;Refrigerated Cargo Ship
9269348;ANDROPOV;Russia;273450240;UGKW;In Service/Commission;3584;Products Tanker
9179842;ANGARA;Russia;273210440;UBYT2;In Service/Commission;8811;Ro-Ro Cargo Ship
8714528;ANIK;Russia;273291570;UBNW9;In Service/Commission;1219;Fishing Vessel
8826371;ANIVA;Russia;273437810;UFPQ;In Service/Commission;4407;Fish Factory Ship
8407230;ANT;Russia;273355250;UAFS;In Service/Commission;1298;General Cargo Ship
8408258;ANTARES;Russia;273415570;UBHX;In Service/Commission;1416;Refrigerated Cargo Ship
9046564;ANTARES;Russia;273299020;UBMV2;In Service/Commission;6243;Chemical/Products Tanker
8921614;ANTARES;Russia;273447750;UIEQ;In Service/Commission;1529;Fishing Vessel
9055199;ANTIAS;Russia;273843800;UINP;In Service/Commission;1315;Fishing Vessel
8723402;ANTON GURIN;Russia;273421240;UERJ;In Service/Commission;6689;Refrigerated Cargo Ship
8509129;ANTUR;Russia;273359270;UBSI8;In Service/Commission;3861;Fish Factory Ship
9219460;ANYUY;Russia;273418850;UBQQ7;In Service/Commission;3244;General Cargo Ship
8303927;APOLLO FLYER;Russia;273310240;UIWS;In Service/Commission;1745;Refrigerated Cargo Ship
8616221;AQUAMARINE;Russia;273311280;UBME3;In Service/Commission;2370;Fish Factory Ship
9163752;ARAM KHACHATURIAN;Russia;273611640;UBCY3;In Service/Commission;8848;Chemical/Products Tanker
8956607;ARBAT;Russia;273338660;UBGK;In Service/Commission;1772;General Cargo Ship
9122978;ARCTIC;Russia;273295130;UBTV3;In Service/Commission;3630;Fishing Vessel
8702393;ARCTIC LIDER;Russia;273318720;UEUT;In Service/Commission;1930;Fishing Vessel
8822375;ARCTIC LION;Russia;273391950;UBZP8;In Service/Commission;1530;Fishing Vessel
7604403;ARCTIC PRINCESS;Russia;273219900;UHTA;In Service/Commission;1966;Refrigerated Cargo Ship
8907204;ARCTIC SPIRIT;Russia;273432030;UBJR2;In Service/Commission;6419;Refrigerated Cargo Ship
8607335;ARCTICA;Russia;273298600;UFBY;In Service/Commission;7765;Fish Factory Ship
9492842;ARCTURUS STAR;Russia;273216480;UBXU8;In Service/Commission;7852;Products Tanker 
9674608;ARGI;Russia;273444730;UBYR6;In Service/Commission;5648;Anchor Handling Tug Supply
8914855;ARGO;Russia;273342530;UBEG7;In Service/Commission;5006;Products Tanker
9057393;ARKADIJA;Russia;273350580;UBEJ2;In Service/Commission;6971;Refrigerated Cargo Ship
8714695;ARKADIY CHERNYSHEV;Russia;273359930;UBSH5;In Service/Commission;6037;General Cargo Ship
9621936;ARKTICHESKAYA;Russia;273350110;UBTG6;In Service/Commission;17000;Drilling Rig, jack up
9694725;ARKTIKA;Russia;273210920;UCZC;In Service/Commission;28494;Icebreaker
9348211;ARKTUR;Russia;273432840;UBSR6;In Service/Commission;3234;Fishing Vessel
9377042;ARMADA EXPLORER;Russia;273311240;UHJS;In Service/Commission;4534;Chemical/Products Tanker
9260483;ARMADA LEADER;Russia;273448000;UAWD;In Service/Commission;4522;Products Tanker
9314727;ARMADA NAVIGATOR;Russia;273437560;UDOU;In Service/Commission;4522;Products Tanker
8859940;ARMENAK BABAYEV;Russia;273459510;UIMQ;In Service/Commission;4407;Fish Factory Ship
9163764;ARNO BABAJANYAN;Russia;273210470;UBSU3;In Service/Commission;8850;Products Tanker
8700125;ARSENYEV;Russia;273165300;UCQK;In Service/Commission;3712;Products Tanker
8909680;ARTEMIDA;Russia;273211120;UBDT7;In Service/Commission;2620;Refrigerated Cargo Ship
9191735;ASBJORN;Russia;273389460;UALP;In Service/Commission;1372;Fishing Vessel
9198226;ASCALON;Russia;273219650;UBHU6;In Service/Commission;8821;Ro-Ro Cargo Ship
8413409;ASIA;Russia;273316250;UIVK;In Service/Commission;1534;General Cargo Ship
8416865;ASKUR;Russia;273347910;UBUE3;In Service/Commission;1037;Fishing Vessel
9297199;ASLAN KHADARCEV;Russia;273440780;UHAP;In Service/Commission;4522;Products Tanker
9624304;ASSIA;Russia;273356360;UBKI5;In Service/Commission;5160;Chemical/Products Tanker
9166314;ASTORIA;Russia;273453790;UBYS2;In Service/Commission;8886;Chemical/Products Tanker
8752439;ASTRA;Russia;273435720;UBAQ;In Service/Commission;3614;Drilling Rig, jack up
8721399;ASTRA MERIDIAN;Russia;273322000;UALI;In Service/Commission;2996;General Cargo Ship
9080156;ASTRAKHAN CITY;Russia;273348300;UITI;In Service/Commission;4409;Chemical/Products Tanker
9906544;ASTROL-1;Russia;273217380;UBXU4;In Service/Commission;6305;General Cargo Ship
9908748;ASTROL-2;Russia;273218380;UBXU5;In Service/Commission;6305;General Cargo Ship
9914266;ASTROL-3;Russia;273219380;UBXU6;In Service/Commission;6305;General Cargo Ship
9917517;ASTROL-4;Russia;273210480;UBXU7;In Service/Commission;6305;General Cargo Ship
9918913;ASTROL-5;Russia;273295820;UBRV6;In Service/Commission;6305;General Cargo Ship
9926324;ASTROL-6;Russia;273290430;UBUV5;In Service/Commission;6305;General Cargo Ship
9926348;ASTROL-7;Russia;273297360;UBHW8;In Service/Commission;6305;General Cargo Ship
9927093;ASTROL-8;Russia;273290460;UBHW9;In Service/Commission;6305;General Cargo Ship
9883168;ATKA;Russia;273615540;;Keel Laid;1190;Fish Factory Ship
9205201;ATLANT;Russia;273219030;UBTJ8;In Service/Commission;1198;Fishing Vessel
9104017;ATLANTIC;Russia;273299320;UBNV7;In Service/Commission;3147;Fishing Vessel
8500630;ATLANTIC LADY;Russia;273419350;UBIQ2;In Service/Commission;8864;Refrigerated Cargo Ship
8607000;ATLANTIDA;Russia;273242100;UALU;In Service/Commission;2062;Fishing Vessel
8607050;ATLANTNIRO;Russia;273244100;UHOB;In Service/Commission;2062;Fishing Vessel
8724119;ATLAS;Russia;273188700;UIKS;In Service/Commission;1178;Tug
8802997;ATLAS;Russia;273381140;UAIU;In Service/Commission;7153;Fishing Vessel
8507406;ATLET-4;Russia;273417700;UATM;In Service/Commission;1384;Crane Vessel
8908076;ATMODA;Russia;273439810;UBIR2;In Service/Commission;12413;Refrigerated Cargo Ship 
8724107;ATRIYA;Russia;273216800;UAST;In Service/Commission;1174;Tug
8886462;ATROPUS;Russia;273855000;UIFA;In Service/Commission;1180;Refrigerated Cargo Ship
